Company,Address,Postcode,Mobile,Allow SMS,Email,Allow Email,Managed,Account Manager
A & D Taxicabs,"20a Hill Street, Lydney",GL15 5HQ,07515 638752,yes,taxicabs.glos@hotmail.com,yes,No,
A A Kear Electrical Services Ltd,"23 Baynham Road, Mitcheldean",GL17 0JR,07979 646247,yes,aakear@btinternet.com,yes,Yes,Amber Sharpe
A And A Blinds & Curtains Ltd,"9 The Hawthorns, Green Meadows, Hom Green, Nr Ross-on-Wye",HR9 7RE,07854 462163,yes,info@aandablinds.co.uk,yes,Yes,Amber Sharpe
Abacus Associates Financial Services Ltd,"Unit 17, Foxes Bridge Road, Cinderford",GL14 2PQ,07794 583087,yes,paulsmith@abacusadvisers.co.uk,yes,Yes,Matthew Rose
Able Plastics Upvc Ltd.,"16 Bracken Close, Lydney",GL15 5AH,07974 021273,yes,ableplastics@icloud.com,yes,Yes,Jane Eveleigh
Acorn Garden Services,"26 Woodland Rise, Lydney",GL15 5LJ,07840 759945,yes,abbillingham@btinternet.com,yes,Yes,Amber Sharpe
Acorn House Clearances,"26 Woodland Rise, Lydney",GL15 5LJ,07840 759945,no,abbillingham@btinternet.com,no,Yes,Amber Sharpe
Adrian Jenkins Plumbing & Heating Services Ltd,"16 Oakfields, Coleford, Glos",GL16 8EN,07792 389090,yes,adrianjenkins@live.co.uk,yes,Yes,Jane Eveleigh
Agincourt Clinic,"3b Agincourt St, Monmouth",NP25 3DZ,,yes,brendangirones@me.com,yes,No,
Alba Health Acupuncture,"2 Latchen Orchard, Longhope",GL17 0QU,07968 962841,yes,helen@balanceretreat.com,yes,No,
All Phase Electrical,"10 Orchard Gardens, Chepstow",NP16 5HX,07485 130637,yes,mark.allphaseelectrical@yahoo.com,yes,Yes,Joanne Collins
All Seasons Gardening Services,"The Conygrie, Batts Lane, Morse Rd, Drybrook",GL17 9AN,07759 929574,yes,ajdainty@msn.com,yes,Yes,Jane Eveleigh
AM Services,"Norwen, Latchen, Longhope, Gloucestershire",GL17 0QA,07946 442509,yes,amservicesfod@hotmail.co.uk,yes,Yes,Amber Sharpe
Andy Hayes Home Improvements,"59 Knights Way,Newent",GL18 1QJ,07976 262952,no,akhayes67@hotmail.com,no,Yes,Jane Eveleigh
Apollo Carpets & Flooring,"Unit 1 Church Road, Lydney",GL15 5EN,07801 611540,yes,info@apollo-carpets.co.uk,yes,No,
Aquaseal Plumbing & Heating,"Woodland View, 1 Tower Road, Yorkley",GL15 4SJ,07917 034413,yes,wopmorgan@tiscali.co.uk,yes,Yes,Joanne Collins
Arden Estate Agents,"5 Bridge House38 Newerne Street, Lydney",GL15 5RF,,yes,chris@ardenestates.co.uk,yes,Yes,Jane Eveleigh
ARH Electrical,"The Worrells, Coleford Rd, St Briavels",GL15 6TW,07883 973363,yes,arh_electrical@yahoo.co.uk,yes,Yes,Jane Eveleigh
Ashton & Daniels,"63 High St, Cinderford",GL14 2SU,,yes,david@ashtonanddaniels.co.uk,yes,Yes,Graham Higgins
Baker. Debby,"Maplestone House, Coleford Road, Bream, Lydney",GL15 6ES,,yes,goldenamsy@hotmail.co.uk,yes,No,
Baxters Computer Supplies & Services,"32 York Road, Cinderford",GL14 2RJ,07765 094580,yes,support@baxterscomputers.co.uk,yes,Yes,Amber Sharpe
